client_code,main_holder_occupation_cd,policy_term,policy_payment_mode,policy_status,main_holder_gender,main_holder_entry_age,policy_snapshot_as_on,main_holder_smoker_flag,total_sum_assuared,payment_method,agent_code,cross_sell
C100000,226.0,12,M,INFORCE,M,28,20190131,N,275000,CASH,AG101392,False
C100000,226.0,12,M,LAPSED,M,28,20200301,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,INFORCE,M,28,20181231,N,275000,CASH,AG101392,False
C100000,226.0,12,M,LAPSED,M,28,20191001,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,INFORCE,M,28,20190228,N,275000,CHEQUE,AG101392,False
C100000,226.0,12,M,LAPSED,M,28,20191201,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20190831,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20190630,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20190901,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,INFORCE,M,28,20190430,N,275000,CHEQUE,AG101392,False
C100000,226.0,12,M,LAPSED,M,28,20190731,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200101,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,INFORCE,M,28,20190331,N,275000,CHEQUE,AG101392,False
C100000,226.0,12,M,LAPSED,M,28,20190531,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200501,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200401,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200701,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20191101,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200601,N,275000,CHEQUE,AG106669,False
C100000,226.0,12,M,LAPSED,M,28,20200201,N,275000,CHEQUE,AG106669,False
C100001,175.0,20,M,LAPSED,M,38,20200701,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190531,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190331,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20191201,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190430,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190228,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200101,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20191001,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200201,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190630,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200301,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200601,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20190731,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20181231,N,670000,CASH,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20191101,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190831,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190131,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200401,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,LAPSED,M,38,20200501,N,670000,CHEQUE,AG106517,False
C100001,175.0,20,M,INFORCE,M,38,20190901,N,670000,CHEQUE,AG106517,False
