agent_level,title,dob,gender,marital_status,date_joined,status,substatus,termination_date,city_name,cluster_code,agent_code,supervisor_code,zone_code,region_code,designation
L11,,,Female,,,INFORCED,,,,,,,,,National Manager
L2,Mr.,1957/12/01,Male,,1999/05/24,INFORCED,ACTIVE,,Ihala Beligalla,LA01001,AG102051,AG108546,ZONE103,RA267,Advisor
L2,Mr.,1973/09/01,Male,,2008/05/27,TERMINATED,AUTOTERMINATED,2018/11/01,Alubomulla,LA01001,AG101552,AG102801,ZONE104,RA263,Advisor
L2,Mr.,1994/08/01,Male,,2014/06/10,TERMINATED,AUTOTERMINATED,2019/07/19,Kekanadurra,LA01002,AG108852,AG106704,ZONE111,RA217,Advisor
L6,Mr.,1981/08/01,Male,,2004/04/21,INFORCED,ACTIVE,,Kolambageara,LA01002,AG106107,AG101697,ZONE105,RA220,Regional Manager
L2,Mr.,1981/04/01,Male,,2002/11/25,INFORCED,ACTIVE,,Balangoda,LA01002,AG108563,AG104551,ZONE114,RA270,Advisor
L2,Mr.,1992/10/01,Male,,2014/03/20,TERMINATED,AUTOTERMINATED,2018/10/31,Kumbukkana,LA01002,AG106170,AG105912,ZONE105,RA216,Advisor
L2,Mr.,1983/09/01,Male,,2016/03/28,TERMINATED,RESIGNED APPROVED,2018/08/30,Piliyandala,LA01001,AG102855,AG101732,ZONE106,RA229,Advisor
L2,Ms.,1997/11/01,Female,,2017/02/01,INFORCED,ACTIVE,,Horana,LA01001,AG104059,AG102801,ZONE104,RA263,Advisor
L2,Mr.,1996/12/01,Male,,2017/03/16,INFORCED,ACTIVE,,Dambagalla,LA01002,AG104479,AG101196,ZONE105,RA216,Advisor
L2,Mrs.,1979/07/01,Female,,2017/02/16,TERMINATED,AUTOTERMINATED,2019/07/25,Hiruwalpola,LA01003,AG103437,AG108555,ZONE113,RA287,Advisor
L2,Mrs.,1974/09/01,Female,,2017/07/27,TERMINATED,RESIGNED APPROVED,2020/06/17,Homagama,LA01001,AG108420,AG101697,ZONE110,RA201,Advisor
L2,Mrs.,1974/01/01,Female,,2017/12/12,TERMINATED,RESIGNED UNAPPROVED,2018/10/29,Colombo 03,LA01001,AG100145,AG101539,ZONE106,RA204,Advisor
L2,Mrs.,1980/08/01,Female,,2017/12/15,TERMINATED,RESIGNED APPROVED,2018/12/13,Colombo 03,LA01002,AG106287,AG104967,ZONE113,RA210,Advisor
L2,Mrs.,1996/02/01,Female,,2018/02/14,TERMINATED,RESIGNED UNAPPROVED,2018/11/12,Colombo 03,LA01002,AG103433,AG106543,ZONE105,RA236,Advisor
L2,Mr.,1972/11/01,Male,,2003/07/09,INFORCED,ACTIVE,,Colombo 03,LA01002,AG107946,AG107140,ZONE113,RA232,Advisor
L2,Mr.,1978/11/01,Male,,2018/06/26,TERMINATED,RESIGNED APPROVED,2019/05/22,Colombo 03,LA01006,AG100520,AG106538,ZONE102,RA271,Advisor
L2,Mr.,1982/12/01,Male,,2018/07/04,TERMINATED,TERMINATED BY SFA,2019/05/07,Colombo 03,LA01001,AG100518,AG101697,ZONE108,RA276,Advisor
L2,Mr.,1998/05/01,Male,Single,2018/08/08,TERMINATED,AUTOTERMINATED,2019/03/31,Udugampola,LA01001,AG102556,AG108072,ZONE106,RA224,Advisor
L2,Mr.,1977/06/01,Male,Married,2018/08/15,TERMINATED,TERMINATED BY SFA,2019/03/12,Lunugala,LA01005,AG101485,AG103609,ZONE100,RA252,Advisor
